#	i_init_Turns_Coil	L2_Magnet_Thickness	L1_Web_Length	L2_Pole_Arc	L1_Pole_V_angle	L1_Pole_Arc	u_YtoT	L1_Web_Thickness	L1_Magnet_Thickness	L1_Magnet_Separation	L2_Magnet_Bar_Width	L1_Magnet_Post	L2_Bridge_Thickness	L1_Magnet_Bar_Width	i_Tooth_Width_Ratio	L2_Web_Thickness	i_Split_Ratio	i_Slot_Op_Ratio	i_Stator_OD	i_AmpT_rms	L1_Bridge_Thickness	i_Line_Current_RMS	i_Active_Length	o_Active_Volume	o_Op1_ShaftToruqe	o_Op1_copper_area	o_Op1_ipk	o_Op2_Jrms	o_Op2_ShaftToruqe	o_Op2_copper_area	o_Op2_ipk	o_Op2_max_temp	o_Torque_Density	o_Turn_Coil	o_Weight_Act	o_Weight_Mag	o_Weight_Rot_Core	o_Weight_Stat_Core	o_Weight_Wdg	o_Wh_Loss	o_Wh_Shaft	o_Wh_input	obj_o_Weight_Act	constr_o_OP2_max_temp	constr_o_Op1_ShaftToruqe	obj_o_Wh_Loss	constr_o_Op2_ShaftToruqe
26	11	4.83625	0.28525	0.5226875	119.55	0.8865	2.533125	0.2673750000000001	6.56125	7.186249999999999	0.6355000000000001	1.526875	1.621875	0.8118750000000001	0.5553125	0.6167499999999999	0.7442875000000001	0.649625	439.5	1678.6875	1.743125	636.3961030678927	142.7725	0.02165968839654701	1299.99990636	181.65908596102	654.993665427	4.530472455760678	899.99902322	181.65908596102	460.006131765	110.263100082805	60.01932634299791	10.55121168660527	155.4576225742655	7.003852248163105	56.4480907328163	54.87778507595873	32.77116908452648	677.870373008	9751.809384120001	10394.4097969	155.4576225742655	69.736899917195	0.9999063600000682	677.870373008	0.9990232200000264
5	11	6.45625	0.19825	0.5980624999999999	116.65	0.5205	2.576875	0.5036250000000001	6.05125	5.12125	0.7881	1.540625	1.693125	0.8786250000000001	0.5095624999999999	0.37075	0.7627125000000001	0.546875	423.9	1592.9375	1.858125	636.3961030678927	125.2875	0.01768171791864804	1299.99940353	180.014703688633	895.032204904	5.497907101823023	899.999881245	180.014703688633	614.342583208	134.488380912568	73.52223406748021	10.01223918450085	128.9823971864047	4.940933218611264	46.32397922387761	43.41313961850859	29.94345100727717	601.0595	9751.80999369	10317.4153739	128.9823971864047	45.511619087432	0.9994035300001087	601.0595	0.9998812449999832
4	11	4.14625	0.41425	0.3595624999999999	129.15	0.7985	2.345625	0.697875	6.58375	3.45875	0.7433000000000001	1.935625	1.616875	0.818625	0.5099374999999999	0.38425	0.7585875000000001	0.642875	420.9	1811.6875	1.904375	636.3961030678927	128.4725	0.01787548805473136	1300.00000003	187.164098417708	760.261123244	5.816416713812201	899.999970832	187.164098417708	522.413269273	129.167517344905	72.72528705508046	11.38716903680803	130.2004592560872	5.426795257493335	46.34121514119904	42.58900758391929	31.4863503031694	616.6654991729999	9751.8100514	10332.9404624	130.2004592560872	50.83248265509499	1.00000002999991	616.6654991729999	0.9999708320000309
33	11	4.33375	0.16075	0.4416874999999999	112.35	0.6064999999999999	2.434375	0.659375	5.83375	1.60375	0.7755000000000001	1.653125	1.718125	0.851875	0.5950624999999999	0.32425	0.7583125000000001	0.500375	419.9	1842.3125	1.638125	636.3961030678927	137.3125	0.01901479750863442	1299.99985051	157.723234718064	662.234917033	6.140919133506711	899.999989866	157.723234718064	449.474617088	123.583744477591	68.36779881140905	11.57965921613104	136.3813553119937	4.944669287621241	50.33294032765091	49.36802135198008	27.38007958875442	656.725484055	9751.81070529	10372.5882355	136.3813553119937	56.416255522409	0.9998505099999875	656.725484055	0.9999898659999644
15	11	4.97875	0.30925	0.6228125	107.85	0.7775	2.518125	0.6471250000000001	4.078749999999999	5.26125	0.2953	1.624375	1.558125	0.871125	0.5335624999999999	0.62425	0.7066125000000001	0.767375	411.7	1673.4375	1.646875	636.3961030678927	132.8925	0.01769098795860149	1300.00000005	165.704306450442	871.101253691	6.309575868759376	899.999463054	165.704306450442	588.054643085	139.712248186747	73.48374229252303	10.5182133701499	126.8871856921669	4.078860227893894	46.53841631852936	43.89923989317761	28.0212402845363	577.965886007	9751.81006428	10293.953349	126.8871856921669	40.28775181325301	1.000000049999926	577.965886007	0.9994630539999889
11	11	5.21875	0.57475	0.3663124999999999	120.15	0.8354999999999999	2.258125	0.433625	4.34125	3.52875	0.4829000000000001	1.883125	1.590625	0.8848750000000001	0.6280625	0.5297499999999999	0.7665625	0.778625	418.5	1717.1875	1.560625	636.3961030678927	135.8175	0.01868256655845766	1299.99989034	153.659322668943	765.906462061	6.416611491031543	899.999545556	153.659322668943	526.661943174	134.48339283274	69.58358137102347	10.79319934061133	133.6915927067108	4.639422392559361	49.34471062321934	48.83727273599305	26.52536920712429	631.225105293	9751.80994234	10346.0824607	133.6915927067108	45.51660716725999	0.9998903400000927	631.225105293	0.9995455560000437
7	11	5.60875	0.29425	0.7150624999999999	100.05	0.6505	2.738125	0.538625	4.91875	2.19875	0.3975	1.723125	1.738125	0.837875	0.5639375	0.6977499999999999	0.7511625000000001	0.6893750000000001	424.7	1677.8125	1.703125	636.3961030678927	117.2925	0.01661592971158111	1299.99999799	158.962940926207	854.664657923	6.597526092725113	899.999803727	158.962940926207	586.803734402	142.879573278633	78.23817388225439	10.54571196719604	121.6296111246607	4.338930445265681	44.00087479450839	43.34472579118703	25.59502886154707	569.615246665	9751.80958607	10285.8109253	121.6296111246607	37.12042672136701	0.9999979900001108	569.615246665	0.9998037269999713
19	11	4.89625	0.3362499999999999	0.7341875	96.05	0.5014999999999999	2.309375	0.3233750000000001	4.19125	3.07375	0.4297	1.768125	1.806875	0.8251250000000001	0.5313125	0.37825	0.6813125000000001	0.719375	427.5	1718.9375	1.624375	636.3961030678927	120.2175	0.01725558994395271	1166.21292331	188.290746738762	900.000000064	6.616935555449678	899.999977951	188.290746738762	664.153438221	165.236743286076	67.58464515545027	10.80419877942979	127.1712167406436	3.140796801382622	47.09384473083552	41.67941722061897	30.90571784248048	644.454655921	9751.80970743	10356.1618199	127.1712167406436	14.76325671392399	-132.78707669	644.454655921	0.9999779510000053
9	11	4.01125	0.5912499999999999	0.4585624999999999	129.85	0.6545	2.731875	0.284875	5.69875	2.88125	0.5123	1.573125	1.783125	0.867125	0.6235624999999999	0.15025	0.7090875000000001	0.570875	437.7	1830.0625	1.633125	636.3961030678927	123.2075	0.01853873600241088	1300.00000003	151.404114247603	714.516812127	6.922664484713195	899.999965147	151.404114247603	492.926119367	133.199460052205	70.12344314417881	11.50266314440183	135.1134011260395	4.171389163678606	50.67084727480559	50.61428692636455	25.30589001513554	589.358441028	9751.80993992	10305.9342516	135.1134011260395	46.80053994779499	1.00000002999991	589.358441028	0.9999651470000117
2	11	6.68875	0.66625	0.4664374999999999	119.05	0.6214999999999999	2.519375	0.591125	5.67625	3.44125	0.5865	1.893125	1.576875	0.8026250000000001	0.6363124999999999	0.27625	0.7654625	0.675125	412.1	1793.3125	1.503125	636.3961030678927	139.3925	0.01859235990101843	1300.00000001	137.66305333034	689.147202472	7.066233270323667	900.000003976	137.66305333034	476.426743149	129.371020534458	69.92119380922645	11.27167492921423	131.2964623527907	5.302848253777502	47.54756790278785	50.23381968756382	23.86477869184753	583.233847797	9751.81130288	10299.682587	131.2964623527907	50.62897946554199	1.000000009999894	583.233847797	1.000003976000016
