"Circuit Current <Whole Model>: A <Value> "
"Time s","Coil1","Coil2","Coil3","CS1"
"0","-494.974746796","-181.173331521","676.148078399","0"
"8.33333416667e-05","-520.198682999","-145.531346679","665.736691615","0"
"0.000166666683333","-544.000961725","-109.508852228","653.505325364","0"
"0.000250000025","-566.312254596","-73.1694183055","639.481968612","0"
"0.000333333366667","-587.069385608","-36.6336725093","623.705773284","0"
"0.000416666708333","-606.218267485","-0.000206350407495","606.213270499","0"
"0.00050000005","-623.704576939","36.6355106187","587.069298116","0"
"0.000583333391667","-639.480572076","73.1709279903","566.315693995","0"
"0.000666666733333","-653.506103907","109.50466919","544.001786314","0"
"0.000750000075","-665.740694354","145.535060091","520.195916164","0"
"0.000833333416667","-676.145406073","181.172749363","494.972678168","0"
"0.000916666758333","-684.702009053","216.312421003","468.386021877","0"
"0.0010000001","-691.382468048","250.857361255","440.520058544","0"
"0.00108333344167","-696.165002009","284.715537459","411.451674274","0"
"0.00116666678333","-699.040600254","317.79263823","381.247605637","0"
"0.001250000125","-699.999891935","349.999935075","350.000020088","0"
"0.00133333346667","-699.03969991","381.248045812","317.791415745","0"
"0.00141666680833","-696.167575212","411.447727486","284.720624889","0"
"0.00150000015","-691.38159045","440.524408246","250.857290644","0"
"0.00158333349167","-684.702683647","468.390693546","216.316042877","0"
"0.00166666683333","-676.152399302","494.974918093","181.177906649","0"
"0.001750000175","-665.739556853","520.201404673","145.538450312","0"
"0.00183333351667","-653.507772518","544.002615542","109.502835567","0"
"0.00191666685833","-639.481443053","566.31379539","73.1713138841","0"
"0.0020000002","-623.704970513","587.069466872","36.6348164146","0"
"0.00208333354167","-606.21878167","606.216662883","0.000787805192971","0"
"0.00216666688333","-587.069406799","623.704611326","-36.6353402601","0"
"0.002250000225","-566.314043029","639.481396429","-73.169907594","0"
"0.00233333356667","-544.004206082","653.508139739","-109.505534551","0"
"0.00241666690833","-520.19843958","665.74030357","-145.538823136","0"
"0.00250000025","-494.973734716","676.148007893","-181.174202657","0"
"0.00258333359167","-468.391744226","684.70288104","-216.311781773","0"
"0.00266666693333","-440.518233811","691.382131268","-250.858330246","0"
"0.002750000275","-411.450055496","696.165334525","-284.715468966","0"
"0.00283333361667","-381.24825458","699.03859996","-317.793796143","0"
"0.00291666695833","-350.002666597","699.999744978","-350.000799951","0"
"0.0030000003","-317.793098903","699.04078474","-381.247502633","0"
"0.00308333364167","-284.715123717","696.165326931","-411.449713812","0"
"0.00316666698333","-250.857436877","691.381468029","-440.525221764","0"
"0.003250000325","-216.312688544","684.703508146","-468.390693434","0"
"0.00333333366667","-181.173188694","676.148051381","-494.974758213","0"
"0.00341666700833","-145.535901498","665.740267045","-520.201944141","0"
"0.00350000035","-109.504513209","653.507640242","-544.000218571","0"
"0.00358333369167","-73.1697107656","639.481691361","-566.311973584","0"
"0.00366666703333","-36.6379122905","623.693882019","-587.073122535","0"
"0.003750000375","0.00320037830262","606.222632491","-606.216122837","0"
"0.00383333371667","36.6344865407","587.06874664","-623.706042649","0"
"0.00391666705833","73.1690497442","566.311426821","-639.478254423","0"
"0.0040000004","109.504050585","544.002645122","-653.507326665","0"
"0.00408333374167","145.539293956","520.199950778","-665.739220446","0"
"0.00416666708333","181.173756359","494.974929446","-676.147879774","0"
"0.004250000425","216.312438508","468.391341802","-684.702816794","0"
"0.00433333376667","250.857784606","440.52371164","-691.381718158","0"
"0.00441666710833","284.7159022","411.451765871","-696.164842951","0"
"0.00450000045","317.793758888","381.251921948","-699.038980457","0"
"0.00458333379167","349.998855657","350.002908176","-699.998605405","0"
"0.00466666713333","381.248222819","317.793381927","-699.040511414","0"
"0.004750000475","411.450026093","284.71410847","-696.166605848","0"
"0.00483333381667","440.525416995","250.856697761","-691.382232518","0"
"0.00491666715833","468.389267319","216.310469837","-684.703028365","0"
"0.0050000005","494.974035301","181.170405261","-676.147306102","0"
"0.00508333384167","520.198875436","145.528678249","-665.737728066","0"
"0.00516666718333","544.000467479","109.516650054","-653.508350002","0"
"0.005250000525","566.312490175","73.1717735521","-639.479532382","0"
"0.00533333386667","587.075398746","36.6325370859","-623.697895006","0"
"0.00541666720833","606.219381076","0.000102014067559","-606.214674745","0"
"0.00550000055","623.703526695","-36.6364108104","-587.069969286","0"
"0.00558333389167","639.481924914","-73.1702961577","-566.312047158","0"
"0.00566666723333","653.506409642","-109.504087798","-544.002695976","0"
"0.005750000575","665.735899752","-145.535920891","-520.19827983","0"
"0.00583333391667","676.147743386","-181.173645151","-494.974544811","0"
"0.00591666725833","684.704365089","-216.313821806","-468.390835955","0"
"0.0060000006","691.382002598","-250.858310157","-440.522405929","0"
"0.00608333394167","696.164546692","-284.715985392","-411.450342249","0"
"0.00616666728333","699.040740111","-317.793632485","-381.247159742","0"
"0.006250000625","699.999983846","-350.000351094","-349.998915573","0"
"0.00633333396667","699.042839904","-381.243352135","-317.795129794","0"
"0.00641666730833","696.165377876","-411.450005576","-284.714802473","0"
"0.00650000065","691.381224589","-440.524398233","-250.858373449","0"
"0.00658333399167","684.703165098","-468.390691632","-216.312233845","0"
"0.00666666733333","676.14560059","-494.973621788","-181.17028391","0"
"0.006750000675","665.739450386","-520.201434154","-145.53757064","0"
"0.00683333401667","653.502824501","-544.003510563","-109.507376366","0"
"0.00691666735833","639.480679377","-566.313397019","-73.1697334338","0"
"0.0070000007","623.704414938","-587.069695794","-36.634719183","0"
"0.00708333404167","606.217340367","-606.217928526","0.000509221081232","0"
"0.00716666738333","587.069198457","-623.705315586","36.6351164919","0"
"0.007250000725","566.308478784","-639.482142959","73.1693297552","0"
"0.00733333406667","544.005793735","-653.506289554","109.504394929","0"
"0.00741666740833","520.203565876","-665.74222757","145.538137812","0"
"0.00750000075","494.973110126","-676.147988127","181.174398102","0"
"0.00758333409167","468.391175863","-684.703391699","216.312213317","0"
"0.00766666743333","440.522829716","-691.382832232","250.858185315","0"
"0.007750000775","411.448383111","-696.165215854","284.718032297","0"
"0.00783333411667","381.249051412","-699.040509041","317.793622326","0"
"0.00791666745833","350.000973541","-699.999863469","350.00031253","0"
"0.0080000008","317.796159835","-699.038231817","381.248508447","0"
"0.00808333414167","284.717743091","-696.165380009","411.449944061","0"
"0.00816666748333","250.857146151","-691.381691691","440.524727608","0"
"0.008250000825","216.308723816","-684.703442873","468.391351057","0"
"0.00833333416667","181.171606779","-676.144690724","494.974394885","0"
"0.00841666750833","145.538429914","-665.738254834","520.213923869","0"
"0.00850000085","109.502960597","-653.506317363","544.002514971","0"
"0.00858333419167","73.1724108966","-639.483268258","566.309705802","0"
"0.00866666753333","36.6388976846","-623.701103568","587.077255451","0"
"0.008750000875","-0.000623526183595","-606.217632032","606.217944485","0"
"0.00883333421667","-36.6355350884","-587.06912567","623.704837935","0"
"0.00891666755833","-73.1707891501","-566.31191979","639.481814466","0"
"0.0090000009","-109.503449621","-544.001276782","653.506131015","0"
"0.00908333424167","-145.540594182","-520.197950854","665.738278827","0"
"0.00916666758333","-181.174301534","-494.975467927","676.149307182","0"
"0.009250000925","-216.312349408","-468.391297288","684.703393555","0"
"0.00933333426667","-250.858054977","-440.524255135","691.381822938","0"
"0.00941666760833","-284.71612689","-411.44935596","696.165278692","0"
"0.00950000095","-317.793748033","-381.246966174","699.040598035","0"
"0.00958333429167","-350.001376356","-349.999887561","699.999380055","0"
"0.00966666763333","-381.247410882","-317.790520483","699.041647967","0"
"0.009750000975","-411.449723616","-284.716111536","696.166175754","0"
"0.00983333431667","-440.525044932","-250.857506583","691.382433296","0"
"0.00991666765833","-468.391710924","-216.313947224","684.703470307","0"
"0.010000001","-494.975510706","-181.171909665","676.14669682","0"
